Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,111.919998,111.919998,110.690002,110.690002,107.235703,39100
2016-01-04,108.489998,108.489998,107.029999,108.290001,104.910606,48000
2016-01-05,108.910004,108.910004,107.599998,107.980003,104.610291,138500
2016-01-06,106.360001,107.320000,106.000000,106.540001,103.215218,74400
2016-01-07,104.709999,105.660004,103.230003,103.389999,100.163513,156900
2016-01-08,104.199997,104.529999,102.290001,102.360001,99.165665,110900
2016-01-11,102.879997,103.239998,101.449997,103.050003,99.834145,364300
2016-01-12,103.980003,104.389999,102.739998,104.010002,100.764160,26200
2016-01-13,104.599998,104.610001,100.730003,100.769997,97.625282,27700
2016-01-14,101.139999,103.379997,99.660004,102.650002,99.446617,44600
2016-01-15,99.580002,100.519997,98.190002,99.440002,96.336792,140800
2016-01-19,100.660004,100.669998,98.500000,99.370003,96.268951,56900
2016-01-20,97.910004,99.669998,95.709999,98.959999,95.871758,102700
2016-01-21,99.160004,100.589996,97.970001,99.269997,96.172073,48500
2016-01-22,100.879997,101.650002,100.849998,101.650002,98.477821,76100
2016-01-25,101.529999,101.860001,100.279999,100.279999,97.150574,24600
2016-01-26,100.809998,101.459999,100.239998,101.309998,98.148422,19600
2016-01-27,100.699997,100.989998,98.720001,98.970001,95.881454,37900
2016-01-28,100.730003,100.820000,99.339996,100.540001,97.402451,223200
2016-01-29,100.730003,103.199997,100.639999,103.199997,99.979446,98000
2016-02-01,102.769997,103.860001,102.559998,103.470001,100.241013,56700
2016-02-02,103.029999,103.029999,100.830002,101.150002,97.993431,23000
2016-02-03,101.860001,101.860001,99.260002,100.620003,97.479958,237600
2016-02-04,100.379997,101.510002,99.989998,101.129997,97.974045,116200
2016-02-05,100.300003,100.300003,96.669998,96.750000,93.730728,115300
2016-02-08,95.150002,95.220001,93.330002,94.959999,91.996605,69300
2016-02-09,93.739998,96.000000,93.650002,94.449997,91.502502,183300
2016-02-10,95.669998,96.660004,95.029999,95.070000,92.103157,75400
2016-02-11,94.070000,95.680000,93.750000,95.040001,92.074104,77300
2016-02-12,96.070000,96.500000,95.510002,96.400002,93.391655,30700
2016-02-16,97.639999,98.529999,97.269997,98.489998,95.416435,24100
2016-02-17,99.370003,101.250000,99.309998,101.040001,97.886864,30300
2016-02-18,101.559998,101.620003,100.400002,100.519997,97.383080,28100
2016-02-19,100.190002,101.160004,100.190002,101.010002,97.857803,268900
2016-02-22,101.959999,102.769997,101.959999,102.620003,99.417557,32600
2016-02-23,102.190002,102.190002,100.849998,100.910004,97.760910,30300
2016-02-24,99.870003,101.809998,99.099998,101.790001,98.613449,39700
2016-02-25,102.169998,103.050003,101.239998,103.050003,99.834145,15900
2016-02-26,103.599998,103.690002,102.680000,102.910004,99.698502,29200
2016-02-29,102.860001,103.800003,102.440002,102.480003,99.281906,19800
2016-03-01,103.120003,105.440002,103.120003,105.440002,102.149551,26800
2016-03-02,105.279999,105.680000,104.940002,105.680000,102.382057,12400
2016-03-03,105.739998,105.739998,104.970001,105.690002,102.391762,15000
2016-03-04,106.019997,106.570000,105.480003,105.930000,102.624245,88100
2016-03-07,105.459999,105.750000,104.500000,105.139999,101.858902,48200
2016-03-08,104.610001,105.279999,104.180000,104.220001,100.967628,41500
